circuit_id,n_qubits,gate_count,observable_size,is_projector,is_stabilizer,epsilon,delta,bernstein,n_threads,xi,h_old,h_new,result,requested_shots,variance_shots,variance_hat,std_hat,sigma_max,variance_bound,observable_norm,observable_norm_is_exact,cpu_time_ns,wall_time_ns
36,64,381,1,1,0,2.000000000000e-01,2.000000000000e-01,1,24,1.453371580864e+06,243186252655705,90855486,-1.613347350711e-18,0,76342434,2.484319040299e-41,7.244031793291e-15,7.139149939836e+02,5.096746186346e+05,1.000000000000e+00,1,14921805659000,640132441250
37,64,381,1,1,0,2.000000000000e-01,2.000000000000e-01,1,24,8.327381989832e+05,79836716437976,52057465,8.879851544788e-19,0,43741918,7.044702317396e-41,6.989398620994e-15,5.403963644641e+02,2.920282307261e+05,1.000000000000e+00,1,8396852224000,364255109275
38,64,381,1,1,0,2.000000000000e-01,2.000000000000e-01,1,24,4.739989059150e+05,25866661006603,29631384,1.625529932143e-20,0,24898127,4.077922133505e-40,9.571870264904e-15,4.077057597563e+02,1.662239865384e+05,1.000000000000e+00,1,4779362778000,210832080534
39,64,381,1,1,0,2.000000000000e-01,2.000000000000e-01,1,24,2.750425242766e+06,870934277462010,171938966,3.587719226391e-20,0,144473829,9.373112815047e-44,8.420575367814e-16,9.821053865571e+02,9.645309903045e+05,1.000000000000e+00,1,28246000795000,1202429152715
40,64,381,1,1,0,2.000000000000e-01,2.000000000000e-01,1,24,3.857535148432e+06,1713189787281722,241148380,1.053080452473e-17,0,202627894,7.422485936969e-40,1.050956120132e-13,1.163089447529e+03,1.352777062954e+06,1.000000000000e+00,1,39588622544000,1678416245336
41,64,381,1,1,0,2.000000000000e-01,2.000000000000e-01,1,24,7.847921250193e+05,70907955909677,49060185,1.809030429319e-17,0,41223415,1.545518880395e-38,9.756449341671e-14,5.246087094293e+02,2.752142980091e+05,1.000000000000e+00,1,7907878806000,343055931272
42,64,381,1,1,0,2.000000000000e-01,2.000000000000e-01,1,24,3.804921633443e+05,16667755681807,23785942,0.000000000000e+00,0,19986422,0.000000000000e+00,0.000000000000e+00,3.652843269907e+02,1.334326395451e+05,1.000000000000e+00,1,3738001422000,168189759810
43,64,381,1,1,0,2.000000000000e-01,2.000000000000e-01,1,24,1.060067653863e+06,129375743601541,66268645,2.484084607584e-17,0,55683038,1.859255418797e-38,1.445450124698e-13,6.097123104781e+02,3.717491015486e+05,1.000000000000e+00,1,11009313719000,474037269638
44,64,128,1,1,1,2.000000000000e-01,2.000000000000e-01,1,24,1.000000000000e+00,1,0,1.000000000000e+00,0,0,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,1.000000000000e+00,1,510000,513287
45,64,381,1,1,0,2.000000000000e-01,2.000000000000e-01,1,24,3.131759879391e+05,11291785126051,19577767,0.000000000000e+00,0,16450450,0.000000000000e+00,0.000000000000e+00,3.313999327099e+02,1.098259154001e+05,1.000000000000e+00,1,3076351883000,138930663224
